Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5977
Client   1,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6805
Client   2,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6012
Client   3,0.001,0.001,0.001,0.990,0.001,0.001,0.001,0.001,0.001,0.001,6194
Client   4,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,0.001,0.001,5896
Client   5,0.001,0.001,0.001,0.001,0.001,0.990,0.001,0.001,0.001,0.001,5475
Client   6,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,0.001,0.001,5972
Client   7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.990,0.001,0.001,6328
Client   8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991,0.001,5905
Client   9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.991,6003
