Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.956,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,6193
Client   1,0.034,0.928,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,7264
Client   2,0.039,0.005,0.924,0.005,0.005,0.005,0.005,0.005,0.005,0.005,6448
Client   3,0.038,0.005,0.005,0.925,0.005,0.005,0.005,0.005,0.005,0.005,6629
Client   4,0.039,0.005,0.005,0.005,0.923,0.005,0.005,0.005,0.005,0.005,6332
Client   5,0.042,0.005,0.005,0.005,0.005,0.920,0.005,0.005,0.005,0.005,5895
Client   6,0.039,0.005,0.005,0.005,0.005,0.005,0.924,0.005,0.005,0.005,6408
Client   7,0.037,0.005,0.005,0.005,0.005,0.005,0.005,0.925,0.005,0.005,6771
Client   8,0.039,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.923,0.005,6341
Client   9,0.039,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.924,6439
