Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.917,0.010,0.009,0.009,0.010,0.011,0.008,0.006,0.009,0.010,6459
Client   1,0.010,0.918,0.010,0.009,0.009,0.006,0.009,0.009,0.009,0.010,7346
Client   2,0.010,0.010,0.918,0.009,0.010,0.008,0.008,0.007,0.012,0.010,6493
Client   3,0.009,0.011,0.008,0.917,0.011,0.008,0.007,0.011,0.008,0.009,6687
Client   4,0.011,0.011,0.007,0.009,0.917,0.008,0.011,0.010,0.008,0.009,6371
Client   5,0.011,0.012,0.008,0.009,0.011,0.917,0.010,0.010,0.007,0.006,5914
Client   6,0.008,0.010,0.010,0.009,0.007,0.009,0.915,0.011,0.009,0.011,6469
Client   7,0.010,0.009,0.011,0.012,0.009,0.008,0.007,0.917,0.010,0.007,6833
Client   8,0.009,0.011,0.008,0.008,0.008,0.010,0.008,0.010,0.918,0.008,6377
Client   9,0.010,0.011,0.008,0.010,0.009,0.007,0.010,0.008,0.010,0.919,6475
