Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.800,0.00,0.00,0.00,0.00,0.00,0.200,0.00,0.00,0.00,7403
Client   1,0.00,0.687,0.00,0.313,0.00,0.00,0.00,0.00,0.00,0.00,9808
Client   2,0.00,0.00,0.588,0.00,0.00,0.00,0.00,0.412,0.00,0.00,5068
Client   3,0.00,0.00,0.00,0.611,0.389,0.00,0.00,0.00,0.00,0.00,5013
Client   4,0.00,0.00,0.00,0.00,0.568,0.00,0.432,0.00,0.00,0.00,3427
Client   5,0.00,0.00,0.00,0.00,0.00,0.646,0.00,0.00,0.00,0.354,8396
Client   6,0.00,0.00,0.668,0.00,0.00,0.00,0.332,0.00,0.00,0.00,4458
Client   7,0.00,0.00,0.00,0.00,0.00,0.00,0.415,0.585,0.00,0.00,3567
Client   8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.263,0.737,0.00,7939
Client   9,0.00,0.00,0.00,0.00,0.396,0.00,0.00,0.00,0.00,0.604,4921
