Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.315,0.00,0.00,0.163,0.133,0.00,0.189,0.200,0.00,0.00,6269
Client   1,0.00,0.219,0.193,0.00,0.00,0.00,0.192,0.203,0.00,0.193,6168
Client   2,0.00,0.00,0.211,0.181,0.148,0.240,0.00,0.221,0.00,0.00,5658
Client   3,0.00,0.232,0.00,0.176,0.144,0.233,0.00,0.216,0.00,0.00,5814
Client   4,0.295,0.201,0.00,0.00,0.125,0.202,0.00,0.00,0.00,0.178,6702
Client   5,0.287,0.00,0.173,0.00,0.00,0.197,0.00,0.00,0.170,0.173,6882
Client   6,0.00,0.00,0.221,0.189,0.154,0.00,0.219,0.00,0.217,0.00,5401
Client   7,0.00,0.00,0.212,0.00,0.148,0.00,0.210,0.223,0.208,0.00,5631
Client   8,0.00,0.228,0.00,0.173,0.00,0.00,0.200,0.00,0.198,0.201,5913
Client   9,0.00,0.242,0.00,0.184,0.150,0.00,0.00,0.00,0.210,0.214,5562
